Leaked composite object at 0x55fd444b9ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x55fd444baee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x55fd444baf20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x55fd444baf60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x55fd444b9f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x55fd444b9f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x55fd444b9f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x55fd444b9fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x55fd444b9fe0 (tests/leak_test.c:12, sz=4, NORMAL)

